Hindi,English
कला,art
विषय,subject
क्षेत्र,region
आकार,size
भिन्न हो,vary
बसा,settle
बोलना,speak
वजन,weight
सामान्य,general
बर्फ,ice
मामला,matter
वृत्त,circle
जोड़ी,pair
शामिल,include
विभाजन,divide
शब्दांश,syllable
लगा,felt
भव्य,grand
गेंद,ball
अभी तक,yet
लहर,wave
ड्रॉप,drop
दिल,heart
AM,am
वर्तमान,present
भारी,heavy
नृत्य,dance
इंजन,engine
स्थिति,position
बांह,arm
विस्तृत,wide
सामग्री,material
अंश,fraction
वन,forest
बैठना,sit
दौड़,race
खिड़की,window
दुकान,store
गर्मियों,summer
सफर,train
नींद,sleep
साबित,prove
लोन,lone
पैर,leg
व्यायाम,exercise
दीवार,wall
पकड़,catch
माउंट,mount
इच्छा,wish
आसमान,sky
बोर्ड,board
हर्ष,joy
सर्दियों,winter
लिखित,written
जंगली,wild
साधन,instrument
रखा,kept
कांच,glass
घास,grass
गाय,cow
काम,job
बढ़त,edge
यात्रा,visit
अतीत,past
मुलायम,soft
मज़ा,fun
उज्ज्वल,bright
गैस,gas
मौसम,weather
माह,month
लाख,million
भालू,bear
खत्म,finish
खुश,happy
आशा,hope
फूल,flower
कपड़े,clothe
अजीब,strange
चला गया,gone
व्यापार,trade
राग,melody
यात्रा,trip
कार्यालय,office
प्राप्त करना,receive
पंक्ति,row
मुंह,mouth
सटीक,exact
प्रतीक,symbol
मरना,die
कम से कम,least
मुसीबत,trouble
चिल्लाओ,shout
सिवाय,except
लिखा,wrote
बीज,seed
स्वर,tone
शामिल होने,join
सुझाव है,suggest
साफ,clean
तोड़,break
महिला,lady
यार्ड,yard
वृद्धि,rise
बुरा,bad
झटका,blow
खून,blood
स्पर्श,touch
बढ़ी,grew
प्रतिशत,cent
मिश्रण,mix
टीम,team
तार,wire
लागत,cost
खोया,lost
पहनना,wear
बगीचा,garden
बराबर,equal
भेजा,sent
चयन,choose
गिर गया,fell
फिट,fit
प्रवाह,flow
मेला,fair
बैंक,bank
इकट्ठा,collect
बचा,save
नियंत्रण,control
दशमलव,decimal
बाकी,else
काफी,quite
तोड़ दिया,broke
मामले,case
बीच,middle
हत्या,kill
बेटा,son
झील,lake
पल,moment
पैमाने,scale
जोर,loud
वसंत,spring
निरीक्षण,observe
व्यंजन,consonant
राष्ट्र,nation
शब्दकोश,dictionary
विधि,method
अंग,organ
भुगतान,pay
उम्र,age
अनुभाग,section
पोशाक,dress
बादल,cloud
आश्चर्य,surprise
शांत,quiet
पत्थर,stone
छोटे,tiny
चढ़ाई,climb
शीतल,cool
डिजाइन,design
गरीब,poor
बहुत,lot
प्रयोग,experiment
कुंजी,key
लोहा,iron
एकल,single
छड़ी,stick
क्रीज,crease
गांव,village
मिलो,meet
जड़,root
खरीद,buy
उठाना,raise
हल,solve
धातु,metal
चाहे,whether
धक्का,push
सात,seven
पैरा,paragraph
तीसरे,third
करेगा,shall
आयोजित,held
बाल,hair
वर्णन,describe
कुक,cook
मंजिल,floor
परिणाम,result
जला,burn
पहाड़ी,hill
सुरक्षित,safe
बिल्ली,cat
सदी,century
विचार करना,consider
प्रकार,type
तट,coast
नकल,copy
वाक्यांश,phrase
चुप,silent
लंबा,tall
रेत,sand
मोटी,thick
सैनिक,soldier
प्रक्रिया,process
संचालित,operate
अवधि,period
संकेत मिलता है,indicate
रेडियो,radio
बात,spoke
एटम,atom
मानव,human
इतिहास,history
प्रभाव,effect
बिजली,electric
उम्मीद,expect
हड्डी,bone
रेल,rail
कल्पना,imagine
प्रदान,provide
सहमत,agree
आवश्यक,necessary
तेज़,sharp
पंख,wing
बना,create
पड़ोसी,neighbor
धोने,wash
बल्ला,bat
बल्कि,rather
भीड़,crowd
मकई,corn
तुलना,compare
कविता,poem
स्ट्रिंग,string
बेल,bell
निर्भर,depend
मांस,meat
रगड़,rub
ट्यूब,tube
प्रसिद्ध,famous
डॉलर,dollar
धारा,stream
डर,fear
दृष्टि,sight
पतली,thin
त्रिकोण,triangle
ग्रह,planet
जल्दी करो,hurry
प्रमुख,chief
कॉलोनी,colony
घड़ी,clock
मेरा,mine
टाई,tie
दर्ज,enter
प्रमुख,major
ताजा,fresh
खोज,search
भेजें,send
पीले,yellow
बंदूक,gun
की अनुमति,allow
प्रिंट,print
मृत,dead
हाजिर,spot
रेगिस्तान,desert
सूट,suit
वर्तमान,current
लिफ्ट,lift
गुलाब,rose
पहुंचना,arrive
मास्टर,master
ट्रैक,track
माता पिता,parent
किनारे,shore
विभाजन,division
चादर,sheet
पदार्थ,substance
एहसान,favor
कनेक्ट,connect
पोस्ट,post
खर्च,spend
राग,chord
वसा,fat
प्रसन्न,glad
मूल,original
शेयर,share
स्टेशन,station
पिता,dad
रोटी,bread
चार्ज,charge
उचित,proper
बार,bar
प्रस्ताव,offer
खंड,segment
गुलाम,slave
बतख,duck
पल,instant
बाजार,market
डिग्री,degree
आबाद,populate
लड़की,chick
प्रिय,dear
दुश्मन,enemy
उत्तर,reply
पेय,drink
घटित,occur
समर्थन,support
भाषण,speech
प्रकृति,nature
भाप,steam
प्रस्ताव,motion
पथ,path
तरल,liquid
मतलब,meant
भागफल,quotient
खोल,shell
चीनी,sugar
मौत,death
सुंदर,pretty
कौशल,skill
महिलाओं,women
मौसम,season
समाधान,solution
चुंबक,magnet
चांदी,silver
धन्यवाद,thank
